window_start,node_id,source_file,node_role,layer,parent_mac,n_samples_present,n_samples_expected,rssi_dbm_mean,rssi_dbm_var,rssi_dbm_min,rssi_dbm_max,retry_count_delta,retry_count_reset_detected,tx_count_delta,tx_count_reset_detected,probes_count_delta,probes_count_reset_detected,window_label,window_phase_id,ForwardingRatio,IngressEgressDelta,ConsistencyScore,RetryRate,RSSI_mean,RSSI_var,RSSI_Hop_Diff,LatencyHopRatio,TunnelIntensity,TunnelBytes,TunnelLatency,ParentSwitchRate,LayerChangeCount,HopStabilityDuration,RSSI_stability,PDR,_pdr_clipped,Label,missing_firmware_fields,attack_type,topology,location,run_repeat
160,NODE_2805A532D7B4,root_node1_linear_none_r1_20260725_233705_telem.csv,root,1.0,00:00:00:00:00:00,5,5,0.0,0.0,0.0,0.0,0.0,False,0.0,False,20.0,False,0.0,0.0,,,,0.0,0.0,0.0,0.0,,,,,0.0,0,4.0,4.0,,False,0.0,"ForwardingRatio,IngressEgressDelta,ConsistencyScore",baseline,linear,unrecorded,
165,NODE_2805A532D7B4,root_node1_linear_none_r1_20260725_233705_telem.csv,root,1.0,00:00:00:00:00:00,5,5,0.0,0.0,0.0,0.0,0.0,False,0.0,False,20.0,False,0.0,0.0,,,,0.0,0.0,0.0,0.0,,,,,0.0,0,4.0,4.0,,False,0.0,"ForwardingRatio,IngressEgressDelta,ConsistencyScore",baseline,linear,unrecorded,
170,NODE_2805A532D7B4,root_node1_linear_none_r1_20260725_233705_telem.csv,root,1.0,00:00:00:00:00:00,5,5,0.0,0.0,0.0,0.0,0.0,False,0.0,False,20.0,False,0.0,0.0,,,,0.0,0.0,0.0,0.0,,,,,0.0,0,4.0,4.0,,False,0.0,"ForwardingRatio,IngressEgressDelta,ConsistencyScore",baseline,linear,unrecorded,
175,NODE_2805A532D7B4,root_node1_linear_none_r1_20260725_233705_telem.csv,root,1.0,00:00:00:00:00:00,5,5,0.0,0.0,0.0,0.0,0.0,False,0.0,False,20.0,False,0.0,0.0,,,,0.0,0.0,0.0,0.0,,,,,0.0,0,4.0,4.0,,False,0.0,"ForwardingRatio,IngressEgressDelta,ConsistencyScore",baseline,linear,unrecorded,
180,NODE_2805A532D7B4,root_node1_linear_none_r1_20260725_233705_telem.csv,root,1.0,00:00:00:00:00:00,5,5,0.0,0.0,0.0,0.0,0.0,False,0.0,False,21.0,False,0.0,0.0,,,,0.0,0.0,0.0,0.0,,,,,0.0,0,4.0,4.0,,False,0.0,"ForwardingRatio,IngressEgressDelta,ConsistencyScore",baseline,linear,unrecorded,
185,NODE_2805A532D7B4,root_node1_linear_none_r1_20260725_233705_telem.csv,root,1.0,00:00:00:00:00:00,5,5,0.0,0.0,0.0,0.0,0.0,False,0.0,False,20.0,False,0.0,0.0,,,,0.0,0.0,0.0,0.0,,,,,0.0,0,4.0,4.0,,False,0.0,"ForwardingRatio,IngressEgressDelta,ConsistencyScore",baseline,linear,unrecorded,
190,NODE_2805A532D7B4,root_node1_linear_none_r1_20260725_233705_telem.csv,root,1.0,00:00:00:00:00:00,5,5,0.0,0.0,0.0,0.0,0.0,False,0.0,False,20.0,False,0.0,0.0,,,,0.0,0.0,0.0,0.0,,,,,0.0,0,4.0,4.0,,False,0.0,"ForwardingRatio,IngressEgressDelta,ConsistencyScore",baseline,linear,unrecorded,
195,NODE_2805A532D7B4,root_node1_linear_none_r1_20260725_233705_telem.csv,root,1.0,00:00:00:00:00:00,5,5,0.0,0.0,0.0,0.0,0.0,False,0.0,False,21.0,False,0.0,0.0,,,,0.0,0.0,0.0,0.0,,,,,0.0,0,4.0,4.0,,False,0.0,"ForwardingRatio,IngressEgressDelta,ConsistencyScore",baseline,linear,unrecorded,
200,NODE_2805A532D7B4,root_node1_linear_none_r1_20260725_233705_telem.csv,root,1.0,00:00:00:00:00:00,5,5,0.0,0.0,0.0,0.0,0.0,False,0.0,False,20.0,False,0.0,0.0,,,,0.0,0.0,0.0,0.0,,,,,0.0,0,4.0,4.0,,False,0.0,"ForwardingRatio,IngressEgressDelta,ConsistencyScore",baseline,linear,unrecorded,
205,NODE_2805A532D7B4,root_node1_linear_none_r1_20260725_233705_telem.csv,root,1.0,00:00:00:00:00:00,5,5,0.0,0.0,0.0,0.0,0.0,False,0.0,False,19.0,False,0.0,0.0,,,,0.0,0.0,0.0,0.0,,,,,0.0,0,4.0,4.0,,False,0.0,"ForwardingRatio,IngressEgressDelta,ConsistencyScore",baseline,linear,unrecorded,
210,NODE_2805A532D7B4,root_node1_linear_none_r1_20260725_233705_telem.csv,root,1.0,00:00:00:00:00:00,5,5,0.0,0.0,0.0,0.0,0.0,False,0.0,False,19.0,False,0.0,0.0,,,,0.0,0.0,0.0,0.0,,,,,0.0,0,4.0,4.0,,False,0.0,"ForwardingRatio,IngressEgressDelta,ConsistencyScore",baseline,linear,unrecorded,
215,NODE_2805A532D7B4,root_node1_linear_none_r1_20260725_233705_telem.csv,root,1.0,00:00:00:00:00:00,5,5,0.0,0.0,0.0,0.0,0.0,False,0.0,False,20.0,False,0.0,0.0,,,,0.0,0.0,0.0,0.0,,,,,0.0,0,4.0,4.0,,False,0.0,"ForwardingRatio,IngressEgressDelta,ConsistencyScore",baseline,linear,unrecorded,
220,NODE_2805A532D7B4,root_node1_linear_none_r1_20260725_233705_telem.csv,root,1.0,00:00:00:00:00:00,5,5,0.0,0.0,0.0,0.0,0.0,False,0.0,False,21.0,False,0.0,0.0,,,,0.0,0.0,0.0,0.0,,,,,0.0,0,4.0,4.0,,False,0.0,"ForwardingRatio,IngressEgressDelta,ConsistencyScore",baseline,linear,unrecorded,
225,NODE_2805A532D7B4,root_node1_linear_none_r1_20260725_233705_telem.csv,root,1.0,00:00:00:00:00:00,5,5,0.0,0.0,0.0,0.0,0.0,False,0.0,False,20.0,False,0.0,0.0,,,,0.0,0.0,0.0,0.0,,,,,0.0,0,4.0,4.0,,False,0.0,"ForwardingRatio,IngressEgressDelta,ConsistencyScore",baseline,linear,unrecorded,
230,NODE_2805A532D7B4,root_node1_linear_none_r1_20260725_233705_telem.csv,root,1.0,00:00:00:00:00:00,5,5,0.0,0.0,0.0,0.0,0.0,False,0.0,False,19.0,False,0.0,0.0,,,,0.0,0.0,0.0,0.0,,,,,0.0,0,4.0,4.0,,False,0.0,"ForwardingRatio,IngressEgressDelta,ConsistencyScore",baseline,linear,unrecorded,
235,NODE_2805A532D7B4,root_node1_linear_none_r1_20260725_233705_telem.csv,root,1.0,00:00:00:00:00:00,5,5,0.0,0.0,0.0,0.0,0.0,False,0.0,False,20.0,False,0.0,0.0,,,,0.0,0.0,0.0,0.0,,,,,0.0,0,4.0,4.0,,False,0.0,"ForwardingRatio,IngressEgressDelta,ConsistencyScore",baseline,linear,unrecorded,
240,NODE_2805A532D7B4,root_node1_linear_none_r1_20260725_233705_telem.csv,root,1.0,00:00:00:00:00:00,5,5,0.0,0.0,0.0,0.0,0.0,False,0.0,False,20.0,False,0.0,0.0,,,,0.0,0.0,0.0,0.0,,,,,0.0,0,4.0,4.0,,False,0.0,"ForwardingRatio,IngressEgressDelta,ConsistencyScore",baseline,linear,unrecorded,
245,NODE_2805A532D7B4,root_node1_linear_none_r1_20260725_233705_telem.csv,root,1.0,00:00:00:00:00:00,5,5,0.0,0.0,0.0,0.0,0.0,False,0.0,False,20.0,False,0.0,0.0,,,,0.0,0.0,0.0,0.0,,,,,0.0,0,4.0,4.0,,False,0.0,"ForwardingRatio,IngressEgressDelta,ConsistencyScore",baseline,linear,unrecorded,
250,NODE_2805A532D7B4,root_node1_linear_none_r1_20260725_233705_telem.csv,root,1.0,00:00:00:00:00:00,5,5,0.0,0.0,0.0,0.0,0.0,False,0.0,False,20.0,False,0.0,0.0,,,,0.0,0.0,0.0,0.0,,,,,0.0,0,4.0,4.0,,False,0.0,"ForwardingRatio,IngressEgressDelta,ConsistencyScore",baseline,linear,unrecorded,
255,NODE_2805A532D7B4,root_node1_linear_none_r1_20260725_233705_telem.csv,root,1.0,00:00:00:00:00:00,5,5,0.0,0.0,0.0,0.0,0.0,False,0.0,False,20.0,False,0.0,0.0,,,,0.0,0.0,0.0,0.0,,,,,0.0,0,4.0,4.0,,False,0.0,"ForwardingRatio,IngressEgressDelta,ConsistencyScore",baseline,linear,unrecorded,
